"path","extension","lines","bytes"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\ChoiceBox.qml",".qml","43","864"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\ChooseCardsAndChoiceBox.qml",".qml","182","4513"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\ChooseGeneralBox.qml",".qml","305","8319"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\DetailedCheckBox.qml",".qml","109","2446"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\DetailedChoiceBox.qml",".qml","72","1654"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\GameOverBox.qml",".qml","207","5679"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\GeneralDetailPage.qml",".qml","656","20058"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\GeneralFilter.qml",".qml","539","13402"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\GeneralPoolOverview.qml",".qml","262","6848"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\GeneralsOverview.qml",".qml","510","13076"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\GraphicsBox.qml",".qml","43","800"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\GuanxingBox.qml",".qml","343","9875"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\MoveCardInBoardBox.qml",".qml","155","3814"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\PlayerCardBox.qml",".qml","170","4462"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\PoxiBox.qml",".qml","235","6197"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\qmldir","<noext>","22","717"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\Room.qml",".qml","964","29341"
"FreeKill-sourcecode\Fk\Pages\LunarLTK\RoomLogic.js",".js","1616","45531"
"FreeKill-sourcecode\Fk\Pages\Replay\GameDataOverview.qml",".qml","221","6797"
"FreeKill-sourcecode\Fk\Pages\Replay\qmldir","<noext>","3","49"
"FreeKill-sourcecode\Fk\Pages\Replay\Replay.qml",".qml","57","1138"
"FreeKill-sourcecode\Fk\Pages\Replay\ReplayRecordingFile.qml",".qml","231","6420"
"FreeKill-sourcecode\Fk\Pages\Replay\StatisticsOverview.qml",".qml","252","6654"
"FreeKill-sourcecode\Fk\qmldir","<noext>","6","163"
"FreeKill-sourcecode\Fk\Widgets\ActionRow.qml",".qml","82","2103"
"FreeKill-sourcecode\Fk\Widgets\ButtonContent.qml",".qml","69","1692"
"FreeKill-sourcecode\Fk\Widgets\ButtonRow.qml",".qml","29","586"
"FreeKill-sourcecode\Fk\Widgets\ComboRow.qml",".qml","43","856"
"FreeKill-sourcecode\Fk\Widgets\CommonScrollBar.qml",".qml","40","910"
"FreeKill-sourcecode\Fk\Widgets\EntryRow.qml",".qml","25","411"
"FreeKill-sourcecode\Fk\Widgets\PageBase.qml",".qml","28","575"
"FreeKill-sourcecode\Fk\Widgets\PopupLoader.qml",".qml","42","884"
"FreeKill-sourcecode\Fk\Widgets\PreferenceGroup.qml",".qml","58","1314"
"FreeKill-sourcecode\Fk\Widgets\PreferencePage.qml",".qml","43","964"
"FreeKill-sourcecode\Fk\Widgets\qmldir","<noext>","26","662"
"FreeKill-sourcecode\Fk\Widgets\SideBarSwitcher.qml",".qml","46","747"
"FreeKill-sourcecode\Fk\Widgets\SliderRow.qml",".qml","18","277"
"FreeKill-sourcecode\Fk\Widgets\SpinRow.qml",".qml","42","717"
"FreeKill-sourcecode\Fk\Widgets\SwitchRow.qml",".qml","19","320"
"FreeKill-sourcecode\Fk\Widgets\TapHandler.qml",".qml","10","228"
"FreeKill-sourcecode\Fk\Widgets\TranslatedComboRow.qml",".qml","70","1471"
"FreeKill-sourcecode\Fk\Widgets\ViewSwitcher.qml",".qml","39","695"
